,,,,,,,,,,,
No,Provinsi Asal,Kasus,Kasus Hari ini,Sembuh,Sembuh Hari Ini,Kematian,Meninggal Hari Ini,RI,CFR,Rasio Lacak & Isolasi
1,Aceh,37733,40,34027,101,1927,10,0.902,0.051,0.29
2,Bali,112582,86,107627,229,3943,5,0.956,0.035,0
3,Banten,131475,59,128002,87,2670,1,0.974,0.02,0.4
4,Bangka Belitung,51209,62,48924,74,1397,2,0.955,0.027,0.49
5,Bengkulu,23021,2,22463,10,466,0,0.976,0.02,0.8
6,DI Yogyakarta,154829,67,148125,190,5190,5,0.957,0.034,0.42
7,DKI Jakarta,857765,149,842510,194,13539,3,0.982,0.016,3.57
8,Jambi,29547,18,28366,9,767,0,0.96,0.026,0.14
9,Jawa Barat,702722,161,685219,288,14624,11,0.975,0.021,0.34
10,Jawa Tengah,482009,144,448597,282,29894,28,0.931,0.062,0.16
11,Jawa Timur,395475,195,364251,257,29413,13,0.921,0.074,0.31
12,Kalimantan Barat,39961,33,38711,52,1045,1,0.969,0.026,0.44
13,Kalimantan Timur,156811,60,150282,114,5381,1,0.958,0.034,3.47
14,Kalimantan Tengah,45162,34,42338,47,1367,0,0.937,0.03,0.35
15,Kalimantan Selatan,69425,40,66531,34,2359,5,0.958,0.034,0.09
16,Kalimantan Utara,35007,47,31202,85,773,2,0.891,0.022,0.67
17,Kepulauan Riau,53633,13,51435,28,1737,3,0.959,0.032,0.66
18,Nusa Tenggara Barat,27423,28,26380,28,799,0,0.962,0.029,0.88
19,Sumatera Selatan,59615,30,56184,37,3046,4,0.942,0.051,1.57
20,Sumatera Barat,89276,50,86244,77,2121,2,0.966,0.024,0.13
21,Sulawesi Utara,34179,27,32317,14,1028,1,0.946,0.03,0.23
22,Sumatera Utara,104706,75,100076,166,2837,1,0.956,0.027,0
23,Sulawesi Tenggara,20030,5,19216,43,523,0,0.959,0.026,0.48
24,Sulawesi Selatan,108584,62,104498,81,2206,2,0.962,0.02,0.11
25,Sulawesi Tengah,46341,43,43858,63,1561,2,0.946,0.034,0.04
26,Lampung,49064,31,43964,26,3764,3,0.896,0.077,0.19
27,Riau,127735,42,122629,117,4064,2,0.96,0.032,0.91
28,Maluku Utara,11956,2,11567,13,302,0,0.967,0.025,0.13
29,Maluku,14524,4,14113,15,258,0,0.972,0.018,0.05
30,Papua Barat,22899,1,22461,11,352,0,0.981,0.015,0
31,Papua,33746,15,31441,5,496,5,0.932,0.015,0.41
32,Sulawesi Barat,12159,10,11567,15,336,0,0.951,0.028,0.18
33,Nusa Tenggara Timur,62716,52,60747,52,1296,1,0.969,0.021,0.07
34,Gorontalo,11735,3,11152,4,458,0,0.95,0.039,0.39
